Zeit	Tiefe
0	0
10	0.3
20	0.3
30	0.8999999999999999
40	0.8999999999999999
50	1.5
60	1.5
70	2.1
80	2.1
90	2.6999999999999997
100	2.6999999999999997
110	3.3
120	3.3
130	3.9
140	3.9
150	4.5
160	4.5
170	5.1
180	5.1
190	5.7
200	5.7
210	6.3
220	6.3
230	6.8999999999999995
240	6.8999999999999995
250	7.5
260	7.5
270	8.1
280	8.1
290	8.7
300	8.7
310	9.299999999999999
320	9.299999999999999
330	9.9
340	9.9
350	10.5
360	10.5
370	11.1
380	11.1
390	11.7
400	11.7
410	12.299999999999999
420	12.299999999999999
430	12.9
440	12.9
450	13.5
460	13.5
470	14.1
480	14.1
490	14.7
500	14.7
510	15.299999999999999
520	15.299999999999999
530	15.899999999999999
540	15.899999999999999
550	16.5
560	16.5
570	17.099999999999998
580	17.099999999999998
590	17.7
600	17.7
610	18.3
620	18
630	18
640	18
650	18
660	18
670	18
680	18
690	18
700	18
710	18
720	18
730	18
740	18
750	18
760	18
770	18
780	18
790	18
800	18
810	18
820	18
830	18
840	18
850	18
860	18
870	18
880	18
890	18
900	18
910	18
920	18
930	18
940	18
950	18
960	18
970	18
980	18
990	18
1000	18
1010	18
1020	18
1030	18
1040	18
1050	18
1060	18
1070	18
1080	18
1090	18
1100	18
1110	18
1120	18
1130	18
1140	18
1150	18
1160	18
1170	18
1180	18
1190	18
1200	18
1210	18
1220	18
1230	18
1240	18
1250	18
1260	18
1270	18
1280	18
1290	18
1300	18
1310	18
1320	18
1330	18
1340	18
1350	18
1360	18
1370	18
1380	18
1390	18
1400	18
1410	18
1420	18
1430	18
1440	18
1450	18
1460	18
1470	18
1480	18
1490	18
1500	18
1510	18
1520	18
1530	18
1540	18
1550	18
1560	18
1570	18
1580	18
1590	18
1600	18
1610	18
1620	18
1630	18
1640	18
1650	18
1660	18
1670	18
1680	18
1690	18
1700	18
1710	18
1720	18
1730	18
1740	18
1750	18
1760	18
1770	18
1780	18
1790	18
1800	18
1810	18
1820	18
1830	18
1840	18
1850	18
1860	18
1870	18
1880	18
1890	18
1900	18
1910	18
1920	18
1930	18
1940	18
1950	18
1960	18
1970	18
1980	18
1990	18
2000	18
2010	18
2020	18
2030	18
2040	18
2050	18
2060	18
2070	18
2080	18
2090	18
2100	18
2110	18
2120	18
2130	18
2140	18
2150	18
2160	18
2170	18
2180	18
2190	18
2200	18
2210	18
2220	18
2230	18
2240	18
2250	18
2260	18
2270	18
2280	18
2290	18
2300	18
2310	18
2320	18
2330	18
2340	18
2350	18
2360	18
2370	18
2380	18
2390	18
0	18
10	0.3
20	0.3
30	0.8999999999999999
40	0.8999999999999999
50	1.5
60	1.5
70	2.1
80	2.1
90	2.6999999999999997
100	2.6999999999999997
110	3.3
120	3.3
130	3.9
140	3.9
150	4.5
160	4.5
170	5.1
180	5.1
190	5.7
200	5.7
210	6.3
220	6.3
230	6.8999999999999995
240	6.8999999999999995
250	7.5
260	7.5
270	8.1
280	8.1
290	8.7
300	8.7
310	9.299999999999999
320	9.299999999999999
330	9.9
340	9.9
350	10.5
360	10.5
370	11.1
380	11.1
390	11.7
400	11.7
410	12.299999999999999
420	12.299999999999999
430	12.9
440	12.9
450	13.5
460	13.5
470	14.1
480	14.1
490	14.7
500	14.7
510	15.299999999999999
520	15.299999999999999
530	15.899999999999999
540	15.899999999999999
550	16.5
560	16.5
570	17.099999999999998
580	17.099999999999998
590	17.7
600	17.7
610	18.3
620	18.3
630	18.9
640	18.9
650	19.5
660	19.5
670	20.099999999999998
680	20.099999999999998
690	20.7
700	20.7
710	21.3
720	21.3
730	21.9
740	21.9
