Zeit	Tiefe
0	0
10	0.3
20	0.3
30	0.8999999999999999
40	0.8999999999999999
50	1.5
60	1.5
70	2.1
80	2.1
90	2.6999999999999997
100	2.6999999999999997
110	3.3
120	3.3
130	3.9
140	3.9
150	4.5
160	4.5
170	5.1
180	5.1
190	5.7
200	5.7
210	6.3
220	6.3
230	6.8999999999999995
240	6.8999999999999995
250	7.5
260	7.5
270	8.1
280	8.1
290	8.7
300	8.7
310	9.299999999999999
320	9.299999999999999
330	9.9
340	9.9
350	10.5
360	10.5
370	11.1
380	11.1
390	11.7
400	11.7
410	12.299999999999999
420	12.299999999999999
430	12.9
440	12.9
450	13.5
460	13.5
470	14.1
480	14.1
490	14.7
500	14.7
510	15.299999999999999
520	15.299999999999999
530	15.899999999999999
540	15.899999999999999
550	16.5
560	16.5
570	17.099999999999998
580	17.099999999999998
590	17.7
600	17.7
610	18.3
620	18.3
630	18.9
640	18.9
650	19.5
660	19.5
670	20.099999999999998
680	20.099999999999998
690	20.7
700	20.7
710	21.3
720	21.3
730	21.9
740	21.9
750	22.5
760	22.5
770	23.099999999999998
780	23.099999999999998
790	23.7
800	23.7
810	24.3
820	24.3
830	24.9
840	24.9
850	25.5
860	25
870	25
880	25
890	25
900	25
910	25
920	25
930	25
940	25
950	25
960	25
970	25
980	25
990	25
1000	25
1010	25
1020	25
1030	25
1040	25
1050	25
1060	25
1070	25
1080	25
1090	25
1100	25
1110	25
1120	25
1130	25
1140	25
1150	25
1160	25
1170	25
1180	25
1190	25
1200	25
1210	25
1220	25
1230	25
1240	25
1250	25
1260	25
1270	25
1280	25
1290	25
1300	25
1310	25
1320	25
1330	25
1340	25
1350	25
1360	25
1370	25
1380	25
1390	25
1400	25
1410	25
1420	25
1430	25
1440	25
1450	25
1460	25
1470	25
1480	25
1490	25
1500	25
1510	25
1520	25
1530	25
1540	25
1550	25
1560	25
1570	25
1580	25
1590	25
1600	25
1610	25
1620	25
1630	25
1640	25
1650	25
1660	25
1670	25
1680	25
1690	25
1700	25
1710	25
1720	25
1730	25
1740	25
1750	25
1760	25
1770	25
1780	25
1790	25
1800	25
1810	25
1820	25
1830	25
1840	25
1850	25
1860	25
1870	25
1880	25
1890	25
1900	25
1910	25
1920	25
1930	25
1940	25
1950	25
1960	25
1970	25
1980	25
1990	25
2000	25
2010	25
2020	25
2030	25
2040	25
2050	25
2060	25
2070	25
2080	25
2090	25
2100	25
2110	25
2120	25
2130	25
2140	25
2150	25
2160	25
2170	25
2180	25
2190	25
2200	25
2210	25
2220	25
2230	25
2240	25
2250	25
2260	25
2270	25
2280	25
2290	25
2300	25
2310	25
2320	25
2330	25
2340	25
2350	25
2360	25
2370	25
2380	25
2390	25
