time velocity distance
0.0000e+00 6.0000e+00 0.0000e+00
1.0010e-02 5.9973e+00 6.0051e-02
2.0020e-02 5.9892e+00 1.2005e-01
3.0030e-02 5.9757e+00 1.7994e-01
4.0040e-02 5.9568e+00 2.3966e-01
5.0050e-02 5.9325e+00 2.9917e-01
6.0060e-02 5.9029e+00 3.5841e-01
7.0070e-02 5.8679e+00 4.1733e-01
8.0080e-02 5.8277e+00 4.7587e-01
9.0090e-02 5.7822e+00 5.3398e-01
1.0010e-01 5.7315e+00 5.9161e-01
1.1011e-01 5.6756e+00 6.4871e-01
1.2012e-01 5.6146e+00 7.0522e-01
1.3013e-01 5.5486e+00 7.6110e-01
1.4014e-01 5.4775e+00 8.1629e-01
1.5015e-01 5.4015e+00 8.7074e-01
1.6016e-01 5.3206e+00 9.2441e-01
1.7017e-01 5.2350e+00 9.7725e-01
1.8018e-01 5.1446e+00 1.0292e+00
1.9019e-01 5.0496e+00 1.0802e+00
2.0020e-01 4.9500e+00 1.1303e+00
2.1021e-01 4.8459e+00 1.1793e+00
2.2022e-01 4.7375e+00 1.2273e+00
2.3023e-01 4.6248e+00 1.2741e+00
2.4024e-01 4.5080e+00 1.3199e+00
2.5025e-01 4.3871e+00 1.3644e+00
2.6026e-01 4.2622e+00 1.4077e+00
2.7027e-01 4.1335e+00 1.4497e+00
2.8028e-01 4.0010e+00 1.4904e+00
2.9029e-01 3.8650e+00 1.5298e+00
3.0030e-01 3.7254e+00 1.5678e+00
3.1031e-01 3.5825e+00 1.6044e+00
3.2032e-01 3.4364e+00 1.6395e+00
3.3033e-01 3.2872e+00 1.6731e+00
3.4034e-01 3.1350e+00 1.7053e+00
3.5035e-01 2.9800e+00 1.7359e+00
3.6036e-01 2.8222e+00 1.7649e+00
3.7037e-01 2.6620e+00 1.7924e+00
3.8038e-01 2.4993e+00 1.8182e+00
3.9039e-01 2.3344e+00 1.8424e+00
4.0040e-01 2.1674e+00 1.8649e+00
4.1041e-01 1.9985e+00 1.8858e+00
4.2042e-01 1.8277e+00 1.9050e+00
4.3043e-01 1.6553e+00 1.9224e+00
4.4044e-01 1.4814e+00 1.9381e+00
4.5045e-01 1.3061e+00 1.9520e+00
4.6046e-01 1.1297e+00 1.9642e+00
